id,name,country,iso
28967,"""Aquafon JSC""",Georgia,GEO
28988,"""A-Mobile LLSC""",Georgia,GEO
36439,"""The Bahamas Telecommunications Company Ltd (BaTelCo)""",Bahamas,BHS
36449,"""Cable Bahamas Ltd""",Bahamas,BHS
4561,"""CamGSM""",Cambodia,KHM
4562,"""Smart Axiata Co. Ltd""",Cambodia,KHM
4563,"""Cambodia Advance Communications Co. Ltd""",Cambodia,KHM
4564,"""Cambodia Advance Communications Co. Ltd""",Cambodia,KHM
4565,"""Smart Axiata Co. Ltd""",Cambodia,KHM
4566,"""Smart Axiata Co. Ltd""",Cambodia,KHM
4568,"""Viettel""",Cambodia,KHM
4569,"""Viettel""",Cambodia,KHM
45611,"""SEATEL Cambodia""",Cambodia,KHM
45618,"""The Royal Group""",Cambodia,KHM
2381,"""TDC A/S""",Denmark,DNK
2382,"""Telenor Denmark""",Denmark,DNK
2383,"""Syniverse Technologies""",Denmark,DNK
2384,"""NextGen Mobile Ltd T/A CardBoardFish""",Denmark,DNK
2385,"""Dansk Beredskabskommunikation A/S""",Denmark,DNK
2386,"""Hi3G Denmark ApS""",Denmark,DNK
2387,"""Mundio Mobile (Denmark) Limited""",Denmark,DNK
2388,"""Voxbone mobile""",Denmark,DNK
2389,"""Dansk Beredskabskommunikation A/S""",Denmark,DNK
23810,"""TDC A/S""",Denmark,DNK
23811,"""Dansk Beredskabskommunikation A/S""",Denmark,DNK
23812,"""Lycamobile Denmark Ltd""",Denmark,DNK
23813,"""Compatel Limited""",Denmark,DNK
23814,"""Monty UK Global Limited""",Denmark,DNK
23815,"""Ice Danmark ApS""",Denmark,DNK
23816,"""Tismi B.V.""",Denmark,DNK
23817,"""Naka AG""",Denmark,DNK
23818,"""Cubic Telecom""",Denmark,DNK
23820,"""Telia""",Denmark,DNK
23823,"""Banedanmark""",Denmark,DNK
23825,"""SMS Provider Corp.""",Denmark,DNK
23828,"""LINK Mobile A/S""",Denmark,DNK
23830,"""Interactive digital media GmbH""",Denmark,DNK
23840,"""Ericsson""",Denmark,DNK
23842,"""Greenwave Mobile IoT ApS""",Denmark,DNK
23843,"""MobiWeb Limited""",Denmark,DNK
23866,"""TT-Netværket P/S""",Denmark,DNK
23873,"""Onomondo ApS""",Denmark,DNK
23877,"""Telenor Denmark""",Denmark,DNK
5141,"""PT Telekomunikasi Indonesia International""",Timor-Leste,TLS
5142,"""Timor Telecom""",Timor-Leste,TLS
5143,"""Viettel Timor-Leste""",Timor-Leste,TLS
7501,"""Sure South Atlantic Ltd.""",Falkland Islands (Malvinas),FLK
6281,"""Gabon Telecom & Libertis S.A.""",Gabon,GAB
6282,"""Atlantique Télécom (Etisalat Group) Gabon S.A.""",Gabon,GAB
6283,"""Airtel Gabon S.A.""",Gabon,GAB
6284,"""USAN Gabon S.A.""",Gabon,GAB
6285,"""Réseau de l’Administration Gabonaise""",Gabon,GAB
3721,"""Communication Cellulaire d'Haiti S.A.""",Haiti,HTI
3722,"""Unigestion Holding S.A.""",Haiti,HTI
3723,"""NATCOM S.A.""",Haiti,HTI
2741,"""Iceland Telecom""",Iceland,ISL
2742,"""Og fjarskipti hf""",Iceland,ISL
2743,"""Og fjarskipti hf""",Iceland,ISL
2744,"""IMC Island ehf""",Iceland,ISL
2745,"""Halló Frjáls fjarskipti hf.""",Iceland,ISL
2746,"""Núll níu ehf""",Iceland,ISL
2747,"""IceCell ehf""",Iceland,ISL
2748,"""Iceland Telecom""",Iceland,ISL
27411,"""Nova ehf""",Iceland,ISL
27412,"""IP fjarskipti""",Iceland,ISL
27416,"""Tismi BV""",Iceland,ISL
27422,"""Icelandic Coast Guard""",Iceland,ISL
27431,"""Iceland Telecom""",Iceland,ISL
4400,"""SoftBank""",Japan,JPN
4401,"""UQ Communications Inc.""",Japan,JPN
4402,"""Hanshin Cable Engineering Co.""",Japan,JPN
4403,"""Internet Initiative Japan""",Japan,JPN
4404,"""Japan Radio Company""",Japan,JPN
4405,"""Wireless City Planning Inc.""",Japan,JPN
4406,"""SAKURA Internet Inc.""",Japan,JPN
4407,"""LTE-X""",Japan,JPN
44010,"""NTT DoCoMo""",Japan,JPN
44020,"""SoftBank""",Japan,JPN
44021,"""SoftBank""",Japan,JPN
44050,"""KDDI""",Japan,JPN
44051,"""KDDI""",Japan,JPN
44052,"""KDDI""",Japan,JPN
44053,"""KDDI""",Japan,JPN
44054,"""KDDI""",Japan,JPN
44070,"""KDDI""",Japan,JPN
44071,"""KDDI""",Japan,JPN
44072,"""KDDI""",Japan,JPN
44073,"""KDDI""",Japan,JPN
44074,"""KDDI""",Japan,JPN
44075,"""KDDI""",Japan,JPN
44076,"""KDDI""",Japan,JPN
44078,"""Okinawa Cellular Telephone""",Japan,JPN
