radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,geometry
UMTS,208,15,831,1112442,,83.94326600000001,28.228067,0,1,1,1511520300,1511520300,,POINT (83.94326600000001 28.228067)
UMTS,228,1,131,570329,,85.51786659999999,27.733025599999998,512,25,1,1487241356,1487241356,,POINT (85.51786659999999 27.7330256)
UMTS,234,20,831,672049,,83.9613871,28.208093800000004,227,12,1,1492185642,1492185642,,POINT (83.9613871 28.2080938)
UMTS,234,20,831,715643,,83.9615488,28.2100153,101,8,1,1492277794,1492277794,,POINT (83.9615488 28.2100153)
UMTS,234,20,831,716643,,83.9619109,28.209343699999998,137,13,1,1492400456,1492446543,,POINT (83.96191090000001 28.2093437)
UMTS,404,17,32031,909839,5.0,86.772152,27.647042,0,1,1,1481250905,1481250905,,POINT (86.77215200000001 27.647042)
UMTS,404,17,32051,1335781,84.0,86.871578,27.706435,0,1,1,1481250864,1481250864,,POINT (86.871578 27.706435)
UMTS,404,25,1110,28881,147.0,86.7668584,27.648996899999997,17,2,1,1481250905,1481250905,,POINT (86.7668584 27.6489969)
UMTS,404,25,1110,4069698,407.0,86.764884,27.650508000000002,0,1,1,1481250905,1481250905,,POINT (86.764884 27.650508)
UMTS,404,25,1112,14373,291.0,86.775021,27.646385,0,1,1,1481250905,1481250905,,POINT (86.775021 27.646385)
UMTS,404,25,3301,4069698,315.0,86.76508100000001,27.650289,0,1,1,1481250905,1481250905,,POINT (86.76508100000001 27.650289)
UMTS,404,25,3302,14373,34.0,86.7747145,27.646637,15,2,1,1481250905,1481250905,,POINT (86.7747145 27.646637)
UMTS,404,74,1101,1335781,302.0,86.871273,27.706466,0,1,1,1481250864,1481250864,,POINT (86.871273 27.706466)
UMTS,404,75,6110,450959,338.0,86.790402,27.638438,0,1,1,1481250905,1481250905,,POINT (86.790402 27.638438)
UMTS,404,75,6120,14373,152.0,86.7740975,27.646679,16,2,1,1481250905,1481250905,,POINT (86.7740975 27.646679)
UMTS,404,75,6120,15064,152.0,86.78091500000001,27.640828000000003,0,1,1,1481250905,1481250905,,POINT (86.78091500000001 27.640828)
UMTS,404,75,6120,909839,152.0,86.7704965,27.6469905,15,2,1,1481250905,1481250905,,POINT (86.77049649999999 27.6469905)
UMTS,404,75,12010,909839,317.0,86.7711,27.646910499999997,15,2,1,1481250905,1481250905,,POINT (86.7711 27.6469105)
UMTS,404,75,12016,15064,316.0,86.78120200000001,27.640922999999997,0,1,1,1481250905,1481250905,,POINT (86.78120200000001 27.640923)
UMTS,404,75,12017,28881,340.0,86.76558829999999,27.650002500000003,32,3,1,1481250905,1481250905,,POINT (86.76558829999999 27.6500025)
UMTS,404,75,12017,4069698,460.0,86.76461280000001,27.65083,48,4,1,1481250905,1481250905,,POINT (86.76461280000001 27.65083)
UMTS,404,75,12037,28881,97.0,86.766052,27.64963,0,1,1,1481250905,1481250905,,POINT (86.766052 27.64963)
UMTS,404,75,12037,450959,97.0,86.790402,27.638438,0,1,1,1481250905,1481250905,,POINT (86.790402 27.638438)
UMTS,404,75,12050,28881,56.0,86.766214,27.649396000000003,0,1,1,1481250905,1481250905,,POINT (86.76621400000001 27.649396)
UMTS,404,999,1007,905859,95.0,86.780342,27.640690999999997,0,1,1,1481250905,1481250905,,POINT (86.780342 27.640691)
UMTS,404,999,1007,909839,95.0,86.772773,27.646990000000002,0,1,1,1481250905,1481250905,,POINT (86.772773 27.64699)
UMTS,405,51,6035,867806,,88.1559465,26.647882899999995,25,2,1,1510086931,1510086931,,POINT (88.1559465 26.6478829)
UMTS,405,52,393,14373,33.0,86.7755365,27.645539000000003,15,2,1,1481250905,1481250905,,POINT (86.7755365 27.645539)
UMTS,405,52,393,450959,47.0,86.791007,27.638478999999997,0,1,1,1481250905,1481250905,,POINT (86.79100699999999 27.638479)
UMTS,405,52,393,893164,47.0,86.769161,27.647306300000004,31,3,1,1481250905,1481250905,,POINT (86.769161 27.6473063)
UMTS,405,52,414,626315,11.0,86.870963,27.706483000000002,0,1,1,1481250864,1481250864,,POINT (86.870963 27.706483)
UMTS,405,52,441,14373,57.0,86.7756787,27.6453543,50,3,1,1481250905,1481250905,,POINT (86.7756787 27.6453543)
UMTS,405,52,441,1257562,141.0,86.033111,27.757973,0,1,1,1506645655,1506645655,,POINT (86.03311100000001 27.757973)
UMTS,405,52,460,14373,81.0,86.775384,27.6457297,71,3,1,1481250905,1481250905,,POINT (86.775384 27.6457297)
UMTS,405,52,461,287953,,87.2672682,26.4101772,4,2,1,1499333671,1499586655,,POINT (87.2672682 26.4101772)
UMTS,405,52,463,28881,200.0,86.766482,27.649263,0,1,1,1481250905,1481250905,,POINT (86.766482 27.649263)
UMTS,405,52,463,897691,200.0,86.786309,27.637922999999997,0,1,1,1481250905,1481250905,,POINT (86.786309 27.637923)
UMTS,405,52,469,866934,305.0,86.779457,27.641605,0,1,1,1481250905,1481250905,,POINT (86.77945699999999 27.641605)
UMTS,405,52,473,905859,177.0,86.773698,27.646878000000005,0,1,1,1481250905,1481250905,,POINT (86.773698 27.646878)
UMTS,405,52,498,14373,141.0,86.776454,27.64465,0,1,1,1481250905,1481250905,,POINT (86.776454 27.64465)
UMTS,405,52,498,450959,157.0,86.7911355,27.6385565,15,2,1,1481250905,1481250905,,POINT (86.7911355 27.6385565)
UMTS,405,52,690,450959,60.0,86.790713,27.638405,0,1,1,1481250905,1481250905,,POINT (86.790713 27.638405)
UMTS,405,52,690,866934,60.0,86.779216,27.641776,0,1,1,1481250905,1481250905,,POINT (86.77921600000001 27.641776)
UMTS,405,52,693,14373,12.0,86.776218,27.644826000000002,0,1,1,1481250905,1481250905,,POINT (86.776218 27.644826)
UMTS,405,52,693,866934,80.0,86.779216,27.641776,0,1,1,1481250905,1481250905,,POINT (86.77921600000001 27.641776)
UMTS,405,52,693,897691,198.0,86.786089,27.638113,0,1,1,1481250905,1481250905,,POINT (86.786089 27.638113)
UMTS,405,52,693,1450862,12.0,86.7889515,27.6390975,377,2,1,1481250905,1481250905,,POINT (86.7889515 27.6390975)
UMTS,405,67,6001,92659,288.0,88.107915,26.632488000000002,0,1,1,1493031943,1493031943,,POINT (88.10791500000001 26.632488)
UMTS,429,1,120,14032,,85.4588,27.643818,0,1,1,1481938253,1481938253,,POINT (85.4588 27.643818)
UMTS,429,1,128,680351,11.0,83.761107,28.396085999999997,0,1,1,1511306178,1511306178,,POINT (83.761107 28.396086)
UMTS,429,1,332,894060,,87.28614300000001,26.822943,0,1,1,1482137332,1482137332,,POINT (87.28614300000001 26.822943)
UMTS,429,1,334,894121,,87.486776,26.463288000000002,0,1,1,1489644214,1489644214,,POINT (87.48677600000001 26.463288)
UMTS,429,1,934,1024351,,83.6120388,27.627298200000002,77,5,1,1505220966,1505220966,,POINT (83.61203879999999 27.6272982)
UMTS,429,1,951,630416,,82.47814759999999,28.039175800000002,156,7,1,1484838826,1484838826,,POINT (82.47814759999999 28.0391758)
UMTS,429,1,1241,547829,24.0,84.18397409999999,28.595200800000004,989,2,1,1509797986,1509797992,,POINT (84.18397409999999 28.5952008)
UMTS,429,1,1444,1068849,496.0,80.5911123,29.058001500000003,4745,14,1,1486051357,1490031815,,POINT (80.59111230000001 29.0580015)
UMTS,429,1,1444,1068889,176.0,80.92804100000001,29.243436,0,1,1,1497512216,1497512216,,POINT (80.92804100000001 29.243436)
UMTS,429,1,1444,1070267,24.0,80.57515079999999,29.0842854,3319,3,1,1486051275,1486051275,,POINT (80.57515079999999 29.0842854)
UMTS,429,1,1541,1068849,496.0,80.622837,28.991827,0,1,1,1486051357,1486051357,,POINT (80.622837 28.991827)
UMTS,429,1,1543,1068727,16.0,80.60910870000001,29.182357899999996,35,3,1,1490031815,1490031815,,POINT (80.60910870000001 29.1823579)
UMTS,429,1,1543,1068729,456.0,80.6124281,29.2703586,6792,3,1,1486051357,1489668974,,POINT (80.6124281 29.2703586)
UMTS,429,1,1543,1068732,456.0,80.60341650000001,29.1767809,9585,3,1,1477881278,1486051357,,POINT (80.60341650000001 29.1767809)
UMTS,429,1,1543,1068847,24.0,80.62361999999999,29.209818,0,1,1,1481934235,1481934235,,POINT (80.62361999999999 29.209818)
UMTS,429,1,1543,1068849,496.0,80.592416,29.118190000000002,0,1,1,1490031815,1490031815,,POINT (80.592416 29.11819)
UMTS,429,1,1543,1070267,24.0,80.61093699999999,29.183367999999998,0,1,1,1486051275,1486051275,,POINT (80.61093699999999 29.183368)
UMTS,429,1,4118,38202,153.0,85.349016,27.695183,0,1,1,1504702142,1504702142,,POINT (85.34901600000001 27.695183)
UMTS,429,1,4118,38205,153.0,85.3479407,27.695606599999998,80,3,1,1504702142,1504702142,,POINT (85.3479407 27.6956066)
